name,price,code
"Combo 6 Muỗng cafe inox 11.6cm LUCKY_STAR, vỉ 2 cái MNLS","210,000 đ",MNLS-ho
Combo 12 Mút rửa ly tách POLY-TECH KZ118,"260,000 đ",KZ118
10 quyển Sổ A3 bìa cứng 6 tập bằng đầu 240 trang,"460,000 đ",SBCA3BD
4 can nước giặt D-nee  Thái Lan 3L,"676,000 đ",OEMNGD1673
2 chai Xì dầu Càng Cua đặc biệt,"66,000 đ",OEMXD193-ho
150 cái Bao đựng thẻ nhân viên 108,"169,000 đ",THE001
60 tập truyện tranh Tam Quốc Diễn Nghĩa,"990,000 đ",OEMST788
Đừng phê bình tôi,"23,000 đ",OEMST661
2 chai Rượu Vang Hibiscus Roselle,"256,000 đ",MSRVH009
Rượu bán ngọt Hibiscus Roselle,"275,000 đ",MSRBN010
Tấm sưởi điện HK25,"1,100,000 đ",HK25
Quạt sưởi Fairlady NSB-90 công nghệ Đức,"599,000 đ",OEMQS842
Combo 8 chai Nước giặt chống phai màu Kolortex tặng 2 chai xả vải + 1 chai lau sàn + 1 chai lau bếp,"549,000 đ",ERKLT080-10
Combo 4 chai Nước giặt chống lem màu Kolortex,"259,000 đ",ECKLT079-10
Trò chuyện với cõi vô hình,"219,000 đ",OEMST716
Kệ sắt để chậu hoa trang trí,"340,000 đ",OEMKS224
2 lọ Tẩy mốc đa năng của Hàn Quốc,"119,000 đ",OEMTM421
Hộp 12 cái Bút sơn Toyo SA101,"127,000 đ",BS101
Combo 3 vỉ (6 cái)- Nĩa trái cây inox 11.6cm LUCKY_STAR,"158,000 đ",NNLS-Vi
Bộ vợt & bẫy muỗi 2 trong 1,"299,000 đ",SC_MS1947
"Mũ Fedora Floppy dạ nỉ, vành nhỏ","143,000 đ",OEMMD945
Bộ lấy ráy tai khô có đèn và kìm gắp,"116,000 đ",OEMRT069
Giá úp ly cốc inox (25cm x 16cm x 21cm) ST_403,"180,000 đ",ST_403-ho
Chảo chiên SUPER CHEF hợp kim tráng men đáy từ 22cm,"283,000 đ",SC_F2022
Chảo chiên SUPER CHEF hợp kim tráng men đáy từ 24cm,"293,000 đ",SC_F2024
Chảo chiên SUPER CHEF hợp kim tráng men đáy từ 26cm,"320,000 đ",SC_F2026
Quánh nắp kính SUPER CHEF hợp kim phủ vân đá đáy từ 16cm,"283,000 đ",SC_FM2016
Nồi nắp kính SUPER CHEF hợp kim tráng men đáy từ 20cm,"406,000 đ",SC_S2020
Quánh nắp kính SUPER CHEF hợp kim tráng men đáy từ 18cm,"348,000 đ",SC_M2018
Quánh nắp kính SUPER CHEF hợp kim tráng men đáy từ 14cm,"302,000 đ",SC_M2014
Nồi nắp kính SUPER CHEF hợp kim tráng men đáy từ 26cm,"538,000 đ",SC_S2026
Nồi nắp kính SUPER CHEF hợp kim tráng men đáy từ 24cm,"483,000 đ",SC_S2024
Ấm siêu tốc Inox cao cấp 1.2L SWF12P1AVN-150,"434,000 đ",SWF12P1AVN-150
Quạt sưởi 3 bóng Hitachi DH-168,"499,000 đ",OEMQS840
Thang nhôm gấp đa năng Nikawa NKB-44,"4,640,000 đ",NKB-44-ca
Thang nhôm rút đôi Nikawa NK-44AI,"4,210,000 đ",NK-44AI-ca
Thang nhôm gấp đa năng NKB-48,"9,770,000 đ",NKB-48
Thang nhôm gấp Nikawa  NKY-7C,"2,770,000 đ",NKY-7C-ca
Thang nhôm gấp chữ A Nikawa  NKD-04,"1,140,000 đ",NKD-04-ca
2 Hộp chia thuốc Pill Pro,"125,000 đ",OEMHT096-ho
2 đôi Găng tay cao su lót nỉ dài tới khuỷu,"130,000 đ",OEMGT917
Chảo chống dính Everyway F09A28-28cm,"453,000 đ",F09A28
Chảo chống dính Everyway F09A24-24cm,"393,000 đ",F09A24
Chảo chống dính Everyway F09A16-16cm,"180,000 đ",F09A16
Chảo chống dính Everyway F09A-20cm,"216,000 đ",F09A20
"3 túi Muối hồng Himalaya hạt túi 0,5kg","162,000 đ",MH06
"3 túi Muối hồng Himalaya mịn túi 0,5kg","162,000 đ",MH05
2 túi Muối hồng Himalaya hạt loại 1kg,"198,000 đ",MH11
2 túi Muối hồng Himalaya mịn loại 1kg,"198,000 đ",MH10
Bộ tai nghe không dây chống ngủ gật,"130,000 đ",OEMTN233-ho
8 Mút rửa chén siêu bền KD001,"249,200 đ",KD001
12 con Dao trổ 1 lưỡi loại lớn khóa tự động SW91023,"255,000 đ",SW91023
Nồi điện đa năng GAABOR GR-N18A dung tích 1.8L công suất 600W,"259,000 đ",OEMNDG2047
2 Tấm chắn dầu mỡ bắn ra khi nấu ăn,"97,000 đ",OECDM002
